Time,CHDMC006,CHSWP003,CHVCT000,OLD_MID,ROLD024,ROLD059,RSAC064,RSAC075,RSAC081,RSAC092,RSAN007,RSAN018,RSAN032,RSAN037,RSAN058,RSAN072,RSMKL008,SLCBN002,SLDUT007,SLMZU011,SLMZU025,SLSUS012,SLTRM004
7/23/1991,517.3910678,507.1442925,411.1869408,730.0657406,544.5567309,752.5681133,18633.61894,12494.19416,8264.676676,2308.302249,4560.427063,1230.83683,320.0653288,296.9868167,246.7293569,607.4487886,147.6514953,15619.94582,883.4951032,15071.14072,11559.65724,14526.76343,874.5801989
7/24/1991,517.0395918,503.9030704,412.6165921,752.1387952,542.5336126,748.1945864,18638.91599,12426.96096,8268.168472,2289.470949,4529.700996,1218.465525,317.3782395,295.9502042,246.2000321,609.2443056,150.2308588,15749.63729,879.3575382,15086.63808,11582.40382,14615.46122,865.0342112
7/25/1991,513.3639196,499.7533156,412.6540098,777.634702,541.9831314,744.4984926,18787.37269,12529.63467,8311.360092,2309.386425,4553.675602,1221.860182,316.2910099,294.4666348,245.3983803,607.2096977,152.1121117,15849.38879,878.8952325,15114.97484,11562.22916,14705.62304,863.4905974
7/26/1991,509.2457749,496.1954571,410.7736588,798.6284898,543.3812682,741.5229359,18722.25988,12593.57495,8454.858261,2355.036546,4612.024573,1230.679031,318.73069,293.1554372,243.4521786,599.1952413,153.1624076,15982.05939,881.3627981,15128.97662,11498.44495,14811.49934,873.7784081
7/27/1991,505.7967914,494.2541695,407.7276344,801.4827582,544.6578757,739.4962775,18743.58413,12554.28244,8366.443273,2333.076766,4588.256176,1215.917045,317.6153245,291.592892,241.6507867,587.5912746,156.1552347,15995.29472,883.4271234,15114.43487,11381.00764,14839.25451,862.1427482
7/28/1991,505.1491807,490.9675124,406.4163987,790.6720244,543.9635684,738.5079937,18601.68375,12385.76858,8227.121084,2285.155774,4407.225441,1168.339264,311.4746071,288.6204713,240.6568128,590.4541547,158.805287,15939.50274,885.1440449,15097.82268,11286.24065,14847.49887,835.3725901
7/29/1991,504.5448793,490.3265998,405.2567596,785.5320702,546.5145321,738.5052319,18077.63766,12383.43702,8216.145665,2289.334127,4384.134665,1143.198426,306.3953741,284.8423564,239.7268424,592.45305,159.3370271,15937.04107,891.2643305,15126.08063,11275.26931,14905.35924,825.9774558
7/30/1991,504.3403444,493.1181831,402.7522036,786.2834078,551.021979,741.0018463,17965.67763,12357.14107,8206.122437,2307.821829,4425.398773,1146.75636,305.7690156,282.7993714,238.3257662,582.823754,158.6839814,15918.38526,898.2764626,15185.22277,11370.909,14936.29368,834.2657709
7/31/1991,506.1110659,489.3514757,400.350619,775.5456359,552.3864009,744.2362798,18103.90077,12216.59479,8047.808802,2271.937789,4336.72316,1127.320242,302.1311839,281.0295893,236.1961439,570.4330238,158.115507,15807.09479,900.0529753,15209.91762,11387.51685,14925.78163,824.2169927
8/1/1991,503.2211978,486.4373519,398.4340623,767.4367409,550.8592103,746.1700719,17906.34367,11974.32337,7860.478414,2166.315538,4149.884813,1086.668375,294.2614924,278.1578417,235.0270853,571.2040297,158.9811691,15629.51914,894.7439582,15207.51388,11315.81983,14886.04193,809.9598993
8/2/1991,503.6043533,486.4679696,395.5062218,766.8164139,548.4850159,748.1959445,17621.00754,11752.81141,7685.560593,2067.365238,3980.8035,1059.918982,287.091665,275.7914448,234.3005476,577.2709525,159.6401649,15548.12659,888.151722,15202.65417,11245.58025,14851.72939,797.4410534
8/3/1991,502.6341966,482.077287,392.6123683,758.7382272,544.6262754,748.8896802,18168.67671,11977.45092,7881.127579,2167.348775,4153.447163,1120.447448,299.504377,278.0742906,232.264435,567.3659032,159.0916905,15587.43158,890.3100402,15271.30758,11327.36891,14916.96682,824.6918666
8/4/1991,497.4468253,483.0615447,389.7733342,745.7550894,539.3172557,749.3952688,19215.26478,12518.28575,8342.189743,2359.62064,4581.201434,1240.851068,319.9508843,284.3042974,229.753321,542.4892038,158.6296598,15830.34322,893.0146497,15360.43082,11537.60276,15039.63256,875.9241635
8/5/1991,498.6191978,487.5907812,387.4124578,731.2067318,532.866882,749.8325125,19733.10714,12890.83827,8686.827449,2478.063493,4852.449829,1318.313484,331.4854479,290.9728886,228.7824701,526.0781021,159.3611687,15987.59834,889.8242957,15386.65825,11743.50624,15129.66916,913.7285169
8/6/1991,496.1242638,489.4212433,386.6854461,725.5845267,527.1192678,748.9064617,19846.92167,13052.92263,8802.015249,2484.381439,4915.879395,1344.798353,332.1711413,297.9241352,228.7742467,528.6420682,160.9479456,16136.67861,887.3234819,15391.49789,11975.57972,15169.17286,923.7898181
8/7/1991,498.5435251,493.5906134,387.4760129,741.3947239,523.0343266,747.5329704,19512.28044,12852.52879,8595.472636,2378.941645,4708.058717,1305.214831,322.084983,299.3073397,229.4187212,550.3718395,161.3289148,15915.91348,883.8704828,15339.39027,11984.05398,15175.65823,911.899059
8/8/1991,524.2258698,492.1203098,389.1710574,758.0384579,524.3423344,746.2050368,19070.44465,12720.35033,8461.280055,2321.073697,4549.050292,1257.026955,315.9822647,295.8294592,229.0036168,565.311669,160.6454225,16111.78164,888.4048239,15309.85907,11801.97245,15206.1145,891.4029738
8/9/1991,511.2504911,485.5154702,390.8070091,784.3827934,531.2595065,744.5084146,18963.11796,12972.94705,8739.888133,2406.32972,4699.829726,1270.678837,321.0769129,293.5103706,227.2748335,558.7654486,160.2944638,16464.62028,896.1631635,15365.67245,11726.66927,15323.40372,912.1678692
8/10/1991,498.2827581,479.9912071,391.2571936,794.2120997,538.8131129,742.4355373,18780.56065,13043.32356,8909.648249,2489.819553,4816.285809,1273.928646,320.0654513,292.2929268,225.653662,552.0787684,159.9141866,16625.08969,901.7495689,15430.41577,11676.78727,15419.44793,918.1545982
8/11/1991,500.5418828,485.2948917,386.472435,781.1879698,547.2547735,743.4288673,18603.55085,13048.03325,8960.711629,2515.678909,4837.878749,1263.05876,318.079282,289.1598066,224.5503499,546.8109407,159.3485168,16692.79027,913.9101524,15473.36496,11597.00926,15481.64791,914.361371
8/12/1991,509.457449,491.050587,380.6739257,774.443978,553.1056093,747.1608003,18435.65666,12674.69301,8540.013921,2340.016469,4542.569482,1194.007151,302.1690241,284.2514044,223.7830777,542.8447259,159.1815435,16639.60773,917.8990784,15446.2728,11387.70706,15435.71402,854.7178291
8/13/1991,513.4741418,488.3293832,376.1742433,781.1577091,557.1842117,750.9664084,17932.15628,12332.52596,8151.350759,2177.977432,4264.177536,1133.557573,288.8420097,278.4865243,223.0583331,530.5090507,159.2411524,16491.94249,915.8939056,15414.17405,11200.63505,15393.25816,806.2049503
8/14/1991,507.1051556,480.1957385,373.5716317,784.5676549,560.4862963,754.9423854,18400.00689,12694.83019,8534.936366,2384.669612,4626.383517,1221.479404,309.693318,280.4064821,220.4432144,489.9309101,157.9352997,16462.57409,926.6650651,15521.70461,11356.96486,15523.8038,871.4243965
8/15/1991,502.5984914,479.4947519,371.6729705,761.299195,559.4055424,756.5589091,18447.7876,12641.21899,8436.079712,2322.727193,4639.841059,1227.150743,309.5603787,282.3329926,217.6697149,452.4784978,158.3344302,16426.27498,926.5319907,15530.44856,11534.72425,15437.25323,865.7605629
8/16/1991,499.2169088,476.1089764,371.1995115,735.0454152,552.0644175,757.5262788,18257.11446,12235.00832,8113.358185,2165.109046,4365.892268,1179.130217,303.5652291,281.8371029,217.0423487,452.1751111,159.1958648,16225.84703,924.74775,15516.98718,11565.92799,15378.39839,830.2011782
8/17/1991,502.9938981,483.6594477,368.4756972,730.6127644,548.2254225,758.2056923,18833.99205,12342.84586,8050.665207,2148.407049,4468.321742,1219.785175,313.2774326,284.3286562,215.1028093,425.8747377,159.317434,16158.66383,936.9719404,15542.05932,11649.5697,15345.59,816.0438944
8/18/1991,497.2011604,483.2562091,367.9826816,728.4245974,542.1631571,757.4800809,19187.59177,12424.67345,8092.40388,2156.711946,4546.467931,1247.589752,319.2164168,287.6655156,214.2062634,417.1105051,158.8530421,15781.32454,936.8502185,15555.78117,11667.31024,15362.90691,823.0171124
8/19/1991,499.7315429,483.4066006,364.0238298,724.0411987,538.4430669,757.4822248,19272.14044,12492.23541,8165.164134,2148.256926,4639.363169,1269.878321,323.3701178,292.3109182,213.2693156,399.6615744,158.9387372,15707.90389,936.428592,15535.87188,11673.5456,15339.64734,824.398111
8/20/1991,506.0761681,492.4804153,363.4433902,745.9147441,535.9270207,754.5895933,19009.20601,12406.3191,8085.267924,2106.423591,4583.694071,1260.534686,321.6192481,294.7880764,212.4909825,398.8665384,160.5882751,15604.10207,932.5388025,15511.20809,11670.88349,15306.58354,822.4545616
8/21/1991,504.9952698,487.018316,362.6309226,783.1098506,536.0900993,750.406531,18864.17902,12400.64512,8094.687322,2105.434822,4538.785383,1257.144169,322.152542,296.2709068,210.8819245,390.2343963,162.2537114,15413.32501,933.2802022,15498.01994,11711.02528,15276.1642,828.8309755
8/22/1991,495.8225295,480.9535033,360.4287001,786.1897583,539.4393063,747.2443778,18757.65404,12381.29439,8093.168813,2101.925892,4529.063998,1257.271821,322.4596092,296.5888465,209.2025541,379.7212855,161.7747095,15428.28174,935.6257909,15511.61122,11741.44249,15278.01198,830.3191617
8/23/1991,492.540164,472.4814399,356.5441376,809.3915799,542.7567736,746.6423461,18853.4085,12668.50886,8370.119375,2234.135073,4688.50369,1304.339101,331.3915431,298.3308789,208.2377661,369.501901,162.2814382,15574.8945,942.4976184,15554.3324,11889.44857,15349.99229,860.4942067
8/24/1991,486.3640429,468.2532619,353.744188,761.406964,549.7305673,748.3422813,18649.12614,12998.98311,8743.12649,2428.392188,4958.748698,1379.992463,339.9631384,303.0825075,207.7992144,357.8283834,164.9600937,15807.90697,958.3633035,15641.88462,11968.66964,15442.70984,921.5537643
8/25/1991,488.4374746,471.9175018,349.3638531,705.369901,556.748059,753.5772533,18790.97844,13118.2593,8885.431122,2509.739517,5115.928485,1432.624522,343.0669746,308.5116434,208.4269834,342.5020536,167.4225229,15902.68156,981.2292004,15671.85462,11911.52795,15473.73796,955.8072071
8/26/1991,506.5769838,482.0219196,345.6523368,672.8351428,563.5067215,737.3958734,18651.68445,12993.74236,8802.689952,2472.677614,5086.749606,1434.760234,345.9782928,310.7244412,208.8514798,336.8285491,168.2630946,15882.79541,1006.746333,15683.44181,11865.55313,15474.41052,948.3391698
8/27/1991,525.5614894,483.963227,343.6935482,688.8129864,569.6820335,714.6021938,18668.78849,13020.5822,8803.467951,2496.45346,5104.287618,1444.964026,350.4304681,311.7971077,208.255791,334.4879411,170.4172902,15860.93446,1039.306289,15738.81207,11921.46775,15499.18661,949.8849449
8/28/1991,529.9624647,484.2519417,341.7649593,711.7192364,575.2398656,669.8555247,18485.73458,12913.69991,8710.272914,2439.251485,5024.040993,1430.605616,346.1129686,311.3457346,207.2676867,334.5079768,171.0497634,15744.9601,1060.234863,15774.5906,11900.48693,15507.67211,944.7635791
8/29/1991,521.3818941,476.7826926,340.0014575,742.516887,580.1568362,603.7006575,18344.16206,12924.4559,8717.664098,2437.824407,5059.678462,1448.86401,349.2915858,313.8244877,205.4108079,330.1352135,169.7871291,15651.74819,1081.47724,15821.45729,11940.7122,15527.6738,958.8653609
8/30/1991,521.992521,469.8178161,337.6663294,716.4384225,585.4394836,562.1710618,18499.17509,13104.59022,8933.903544,2547.403323,5287.088356,1555.635569,374.2392426,322.8125515,204.2886359,321.201086,167.5361268,15573.80649,1108.115311,15893.70723,12099.1557,15557.32718,1018.322656
8/31/1991,501.5897767,472.1349039,335.2471647,661.2855733,590.5294253,576.8357862,18894.51307,13429.19686,9317.692632,2736.615176,5674.211934,1728.163394,407.6361531,339.5295604,204.0737669,310.5608228,166.0954083,15415.54337,1141.570887,15981.21562,12334.87644,15581.85158,1094.238103
9/1/1991,502.5657759,481.0726465,333.8479554,645.3398259,597.6146673,594.413763,19131.33877,13784.35353,9737.926173,2977.35881,6110.692612,1939.09611,435.928491,361.0202173,204.5165164,306.3024724,168.1676696,15754.64596,1180.676655,16072.90626,12559.517,15671.74422,1186.861245
9/2/1991,504.600413,479.3505338,332.4226147,667.66141,606.37909,592.7681599,19269.74006,13923.43147,9928.763148,3073.491515,6346.772235,2079.243585,453.9782397,380.4008236,205.4943167,302.916207,171.259501,16213.97867,1218.046418,16126.55373,12802.77899,15761.55546,1256.19791
